block,year,compost_added,winter_cover_freq,cover_crop_type,cover_crop_seeding_rate,TOC_mg_ha,TON_ma_ha
4,4,1,4,1,1,37,3.5
1,4,1,4,1,3,37,3.4
2,4,1,4,1,3,30,3
3,4,1,4,1,3,25,2.6
4,4,1,4,1,3,31,3
1,5,0,1,2,3,24,2.5
2,5,0,1,2,3,20,2.1
3,5,0,1,2,3,16,1.7
4,5,0,1,2,3,30,2.9
1,5,1,1,2,3,27,2.6
2,5,1,1,2,3,29,2.7
3,5,1,1,2,3,31,3
4,5,1,1,2,3,31,3
1,5,1,4,2,1,33,3
2,5,1,4,2,1,37,3.8
3,5,1,4,2,1,29,2.6
4,5,1,4,2,1,28,2.6
1,5,1,4,2,3,38,3.5
2,5,1,4,2,3,32,3.1
3,5,1,4,2,3,28,2.8
4,5,1,4,2,3,38,3.4
1,5,1,4,3,1,29,2.6
2,5,1,4,3,1,27,2.7
3,5,1,4,3,1,27,2.3
4,5,1,4,3,1,41,3.9
1,5,1,4,3,3,40,3.8
2,5,1,4,3,3,33,3
3,5,1,4,3,3,26,2.6
4,5,1,4,3,3,20,2.2
1,5,1,4,1,1,32,3.2
2,5,1,4,1,1,40,3.8
3,5,1,4,1,1,31,3.1
4,5,1,4,1,1,37,3.5
1,5,1,4,1,3,35,3.4
2,5,1,4,1,3,36,3.4
3,5,1,4,1,3,25,2.2
4,5,1,4,1,3,30,3
1,6,0,1,2,3,26,2.3
2,6,0,1,2,3,29,2.7
3,6,0,1,2,3,23,2.1
4,6,0,1,2,3,25,2.3
1,6,1,1,2,3,33,2.9
2,6,1,1,2,3,49,4.4
3,6,1,1,2,3,40,3.8
4,6,1,1,2,3,39,3.5
1,6,1,4,2,1,40,3.5
2,6,1,4,2,1,41,3.7
3,6,1,4,2,1,33,3
4,6,1,4,2,1,38,3.5
1,6,1,4,2,3,47,4.3
2,6,1,4,2,3,44,4.2
3,6,1,4,2,3,38,3.6
4,6,1,4,2,3,33,3.1
1,6,1,4,3,1,32,2.8
2,6,1,4,3,1,48,4.3
3,6,1,4,3,1,35,3.2
4,6,1,4,3,1,40,3.8
1,6,1,4,3,3,40,3.6
2,6,1,4,3,3,38,3.5
3,6,1,4,3,3,35,3.4
4,6,1,4,3,3,35,3.3
1,6,1,4,1,1,34,3.2
2,6,1,4,1,1,46,4.2
3,6,1,4,1,1,34,3.2
4,6,1,4,1,1,34,3.3
1,6,1,4,1,3,42,3.8
2,6,1,4,1,3,41,3.8
3,6,1,4,1,3,37,3.4
4,6,1,4,1,3,37,3.5
1,7,0,1,2,3,15,1.4
2,7,0,1,2,3,20,2
3,7,0,1,2,3,22,2.1
4,7,0,1,2,3,27,2.6
1,7,1,1,2,3,21,2
2,7,1,1,2,3,35,3.2
3,7,1,1,2,3,33,3.1
4,7,1,1,2,3,37,3.5
1,7,1,4,2,1,37,3.4
2,7,1,4,2,1,39,3.7
3,7,1,4,2,1,31,2.9
4,7,1,4,2,1,38,3.7
1,7,1,4,2,3,35,3.3
2,7,1,4,2,3,33,3.3
3,7,1,4,2,3,50,5
4,7,1,4,2,3,40,3.7
1,7,1,4,3,1,30,2.8
2,7,1,4,3,1,61,5.7
3,7,1,4,3,1,33,3.1
4,7,1,4,3,1,33,3.1
